gene,msi,component,r,r_abs
Vxn,mz.281.09517,6,-0.2261855,0.2261855
Vxn,mz.560.1485299999999,6,-0.22590457,0.22590457
Mef2c,mz.281.09517,6,-0.22565761,0.22565761
Vxn,mz.298.062905,6,-0.22537489,0.22537489
Nptxr,mz.592.0904700000001,6,-0.2253094,0.2253094
Mbp,mz.298.065095,6,0.2252607,0.2252607
Pvalb,mz.592.0904700000001,6,-0.22489987,0.22489987
Ttc9b,mz.516.190135,6,-0.22484374,0.22484374
Slc30a3,mz.394.12496,6,-0.22478095,0.22478095
Slc30a3,mz.296.06595500000003,6,-0.22437048,0.22437048
Ppp3ca,mz.297.069625,6,-0.22430524,0.22430524
Vxn,mz.298.06399999999996,6,-0.2242245,0.2242245
Pvalb,mz.296.06595500000003,6,-0.22418089,0.22418089
Ptgds,mz.298.062905,6,0.2241179,0.2241179
Pvalb,mz.259.11330999999996,6,-0.22396962,0.22396962
Rgs7bp,mz.297.06824,6,-0.22385716,0.22385716
Adcy1,mz.562.323125,6,-0.22383758,0.22383758
Sv2b,mz.394.12496,6,-0.22373444,0.22373444
Pvalb,mz.297.069625,6,-0.22334066,0.22334066
Apod,mz.297.069625,6,0.22325853,0.22325853
Vxn,mz.259.113915,6,-0.22307563,0.22307563
Sv2b,mz.592.0904700000001,6,-0.22299737,0.22299737
Sv2b,mz.297.070615,6,-0.22275713,0.22275713
Vxn,mz.297.06824,6,-0.22264795,0.22264795
Rgs7bp,mz.259.11330999999996,6,-0.22260292,0.22260292
Ppp3ca,mz.280.092375,6,-0.22238213,0.22238213
Trf,mz.297.070615,6,0.2220216,0.2220216
Ptgds,mz.297.069625,6,0.22186235,0.22186235
Slc30a3,mz.516.190135,6,-0.22157887,0.22157887
Efnb3,mz.516.190135,6,0.22138754,0.22138754
Nptxr,mz.560.1485299999999,6,-0.22112976,0.22112976
Cnp,mz.297.070615,6,0.22097263,0.22097263
Mobp,mz.297.06824,6,0.22075015,0.22075015
Nptxr,mz.296.06595500000003,6,-0.2204346,0.2204346
Mobp,mz.298.065095,6,0.22040452,0.22040452
Pvalb,mz.259.113915,6,-0.22038215,0.22038215
Efnb3,mz.297.06824,6,0.2203713,0.2203713
Adcy1,mz.281.09517,6,-0.22022215,0.22022215
Sv2b,mz.296.06595500000003,6,-0.22020213,0.22020213
Pvalb,mz.297.070615,6,-0.22016346,0.22016346
Ppp3ca,mz.298.06399999999996,6,-0.21982712,0.21982712
Olfm1,mz.592.09793,6,-0.21968855,0.21968855
Efhd2,mz.516.190135,6,-0.21921831,0.21921831
Rgs4,mz.259.11330999999996,6,-0.21913263,0.21913263
Mbp,mz.297.06824,6,0.2188417,0.2188417
Mal,mz.592.0904700000001,6,0.21883217,0.21883217
Ttc9b,mz.394.12496,6,-0.21864969,0.21864969
Nptxr,mz.394.12496,6,-0.2185221,0.2185221
Zbtb20,mz.592.09793,6,0.21846606,0.21846606
Pvalb,mz.298.06399999999996,6,-0.21834214,0.21834214
Nptxr,mz.297.069625,6,-0.21796462,0.21796462
Apod,mz.298.062905,6,0.21752328,0.21752328
Ppp3ca,mz.560.1485299999999,6,-0.21747735,0.21747735
Efnb3,mz.298.065095,6,0.2174327,0.2174327
Slc30a3,mz.297.069625,6,-0.21733701,0.21733701
Pvalb,mz.297.06824,6,-0.21696554,0.21696554
Nptxr,mz.258.110295,6,-0.21612468,0.21612468
Ptgds,mz.298.06399999999996,6,0.21604592,0.21604592
Mal,mz.296.06595500000003,6,0.21598625,0.21598625
Nptxr,mz.280.092375,6,-0.21595275,0.21595275
Rgs4,mz.592.09793,6,-0.21595073,0.21595073
Ttc9b,mz.258.110295,6,-0.2157906,0.2157906
