gene,msi,component,r,r_abs
Fth1,mz.344.73039,6,0.16565858,0.16565858
Ptma,mz.282.77783,6,0.16549562,0.16549562
Mbp,mz.305.75867,6,0.16515768,0.16515768
Thbs4,mz.421.939095,6,0.1650712,0.1650712
Crym,mz.467.972585,6,-0.16488612,0.16488612
Cryab,mz.505.96179,6,0.16482836,0.16482836
Ptma,mz.286.77187000000004,6,0.16475877,0.16475877
Trf,mz.288.768965,6,0.16474487,0.16474487
Pnck,mz.342.00199,6,-0.16467421,0.16467421
Trf,mz.282.77783,6,0.16462094,0.16462094
Gng5,mz.537.574345,6,0.16427466,0.16427466
Gng5,mz.360.7937,6,0.16400862,0.16400862
Ptma,mz.569.518775,6,0.16383392,0.16383392
Bcas1,mz.342.00199,6,0.16356856,0.16356856
Spef2,mz.270.798065,6,0.16339843,0.16339843
Ppp1r32,mz.272.79503,6,0.16332933,0.16332933
Trf,mz.573.512445,6,0.1631344,0.1631344
Gng5,mz.268.80102,6,0.16303319,0.16303319
Bcas1,mz.565.525445,6,0.16270256,0.16270256
Bcas1,mz.228.965125,6,0.16269097,0.16269097
Trf,mz.569.518775,6,0.16254008,0.16254008
Gng5,mz.362.79088,6,0.16248876,0.16248876
Gng5,mz.266.80385,6,0.16244633,0.16244633
Vim,mz.282.77783,6,0.16241595,0.16241595
Plekhb1,mz.569.518775,6,0.16235614,0.16235614
Trf,mz.228.965125,6,0.16235092,0.16235092
Cd9,mz.286.77187000000004,6,0.1623035,0.1623035
Gng5,mz.268.9367,6,0.1618863,0.1618863
Wfs1,mz.224.88294000000002,6,-0.16185607,0.16185607
Cd9,mz.573.512445,6,0.16174215,0.16174215
Apod,mz.150.88660499999997,6,0.16166979,0.16166979
Ppp1r14a,mz.228.965125,6,0.16128254,0.16128254
Bcas1,mz.286.77187000000004,6,0.16107064,0.16107064
Dbi,mz.224.88294000000002,6,0.16106917,0.16106917
Clic4,mz.286.77187000000004,6,0.16089243,0.16089243
Apod,mz.421.939095,6,0.16088098,0.16088098
Cryab,mz.421.939095,6,0.16071454,0.16071454
Clu,mz.342.73335,6,0.16060668,0.16060668
Cmtm5,mz.282.77783,6,0.1605085,0.1605085
Ptma,mz.288.768965,6,0.16040614,0.16040614
Cd9,mz.463.998265,6,0.16032805,0.16032805
Tppp3,mz.421.939095,6,0.1602368,0.1602368
Vim,mz.150.88660499999997,6,0.16019192,0.16019192
Pde10a,mz.463.998265,6,0.16001493,0.16001493
Cd9,mz.284.77471,6,0.15998563,0.15998563
Sept4,mz.573.512445,6,0.15983716,0.15983716
Spef2,mz.272.79503,6,0.15974467,0.15974467
Tsc22d4,mz.171.006475,6,0.15967137,0.15967137
Sept4,mz.286.77187000000004,6,0.15962933,0.15962933
Trf,mz.342.00199,6,0.15944724,0.15944724
Cd9,mz.565.525445,6,0.15927273,0.15927273
Clic4,mz.573.512445,6,0.15925609,0.15925609
Trf,mz.565.525445,6,0.15900208,0.15900208
Thbs4,mz.326.75938,6,0.15893555,0.15893555
Cd9,mz.288.768965,6,0.15880556,0.15880556
Bcas1,mz.282.77783,6,0.15875313,0.15875313
Plppr4,mz.288.768965,6,-0.15869266,0.15869266
Tac1,mz.467.972585,6,-0.15868704,0.15868704
Wfs1,mz.505.96179,6,-0.1585825,0.1585825
Spef2,mz.266.80385,6,0.15856662,0.15856662
Sept4,mz.284.77471,6,0.15852219,0.15852219
Cacng3,mz.282.77783,6,-0.15838045,0.15838045
Plppr4,mz.573.512445,6,-0.15830009,0.15830009
Fth1,mz.342.73335,6,0.15823299,0.15823299
Clic4,mz.284.77471,6,0.15821731,0.15821731
Car2,mz.342.00199,6,0.15798771,0.15798771
Sept4,mz.565.525445,6,0.15795065,0.15795065
Ppp1r14a,mz.171.006475,6,0.15792179,0.15792179
Gpr83,mz.573.512445,6,-0.15788761,0.15788761
Plppr4,mz.284.77471,6,-0.15770149,0.15770149
Apod,mz.505.96179,6,0.15767094,0.15767094
Ptma,mz.573.512445,6,0.1576232,0.1576232
Vim,mz.286.77187000000004,6,0.15756866,0.15756866
Tmem130,mz.228.965125,6,-0.15746272,0.15746272
Apod,mz.150.886795,6,0.15740043,0.15740043
Ppp1r14a,mz.463.998265,6,0.15735653,0.15735653
Vim,mz.150.886795,6,0.15734208,0.15734208
Clu,mz.208.84542,6,0.15733825,0.15733825
Cacng3,mz.565.525445,6,-0.15724316,0.15724316
Ptma,mz.150.88660499999997,6,0.15697989,0.15697989
Cd9,mz.569.518775,6,0.15682822,0.15682822
Wdr6,mz.171.006475,6,-0.15676674,0.15676674
Plekhb1,mz.421.939095,6,0.1566056,0.1566056
Plppr4,mz.569.518775,6,-0.1565569,0.1565569
Dbndd2,mz.228.965125,6,0.15645602,0.15645602
Vstm2a,mz.171.006475,6,-0.15644039,0.15644039
Plppr4,mz.282.77783,6,-0.1563305,0.1563305
Plppr4,mz.344.73039,6,-0.15631837,0.15631837
Clic4,mz.569.518775,6,0.15624982,0.15624982
Vim,mz.342.73335,6,0.15624157,0.15624157
Cacng3,mz.286.77187000000004,6,-0.15622333,0.15622333
Ptma,mz.152.883785,6,0.15618181,0.15618181
Thbs4,mz.268.9367,6,0.15605794,0.15605794
Enpp2,mz.228.965125,6,0.15593715,0.15593715
Pdyn,mz.467.972585,6,-0.15593627,0.15593627
Sept4,mz.282.77783,6,0.15585797,0.15585797
Fth1,mz.268.9367,6,0.15564764,0.15564764
Gpr83,mz.171.006475,6,-0.1556133,0.1556133
Gng5,mz.272.79503,6,0.15545519,0.15545519
Sept4,mz.569.518775,6,0.15536058,0.15536058
Cacng3,mz.150.88660499999997,6,-0.15521432,0.15521432
Cmtm5,mz.288.768965,6,0.15506786,0.15506786
Cacng3,mz.284.77471,6,-0.15502378,0.15502378
Cryab,mz.152.883785,6,0.15491752,0.15491752
Cd9,mz.228.965125,6,0.15471241,0.15471241
Plekhb1,mz.171.006475,6,0.1546414,0.1546414
Clu,mz.210.84250500000002,6,0.15451874,0.15451874
Ppp1r32,mz.537.574345,6,0.15450881,0.15450881
Clic4,mz.282.77783,6,0.15449387,0.15449387
Clu,mz.228.902955,6,0.15447699,0.15447699
Gpr83,mz.284.77471,6,-0.15442684,0.15442684
Wfs1,mz.222.88584500000002,6,-0.15429115,0.15429115
Plppr4,mz.565.525445,6,-0.15415931,0.15415931
Bcas1,mz.573.512445,6,0.15405181,0.15405181
Dbi,mz.222.88584500000002,6,0.15398508,0.15398508
Ptma,mz.360.7937,6,0.15395507,0.15395507
Bcas1,mz.421.939095,6,0.15375984,0.15375984
Ptma,mz.150.886795,6,0.15370429,0.15370429
Clu,mz.463.998265,6,0.15366665,0.15366665
Gpr83,mz.228.965125,6,-0.15346006,0.15346006
Cryab,mz.150.88660499999997,6,0.1534467,0.1534467
Cmtm5,mz.565.525445,6,0.1533764,0.1533764
Apod,mz.228.965125,6,0.15334766,0.15334766
Gpr83,mz.569.518775,6,-0.15330273,0.15330273
Ppp1r32,mz.268.80102,6,0.15327418,0.15327418
Vim,mz.284.77471,6,0.15322682,0.15322682
Mbp,mz.154.88083999999998,6,0.1531285,0.1531285
Bcas1,mz.284.77471,6,0.1530568,0.1530568
Spef2,mz.346.817085,6,0.15305278,0.15305278
Apod,mz.152.883785,6,0.15302832,0.15302832
Vim,mz.569.518775,6,0.1529463,0.1529463
Fth1,mz.210.84250500000002,6,0.15288691,0.15288691
Cryab,mz.150.886795,6,0.15287489,0.15287489
Car2,mz.286.77187000000004,6,0.15280277,0.15280277
Cmtm5,mz.284.77471,6,0.15276416,0.15276416
Apod,mz.305.75867,6,0.1527338,0.1527338
Cryab,mz.305.75867,6,0.15260416,0.15260416
Clu,mz.272.79503,6,0.15252575,0.15252575
Spef2,mz.268.80102,6,0.15227567,0.15227567
Ppp1r32,mz.326.75938,6,0.15217195,0.15217195
Cacng3,mz.150.886795,6,-0.15212014,0.15212014
Sept4,mz.467.972585,6,0.15210778,0.15210778
Tsc22d4,mz.228.965125,6,0.15206453,0.15206453
Apod,mz.301.764925,6,0.15203215,0.15203215
Cacng3,mz.288.768965,6,-0.15199652,0.15199652
Spef2,mz.344.73039,6,0.15199254,0.15199254
Car2,mz.284.77471,6,0.15198323,0.15198323
Ppp1r14a,mz.342.00199,6,0.15191424,0.15191424
Cmtm5,mz.569.518775,6,0.15180443,0.15180443
Ptma,mz.505.96179,6,0.1518001,0.1518001
