gene,msi,component,r,r_abs
Pde1b,mz.393.91748,7,0.34698635,0.34698635
Gpr88,mz.219.93651,7,0.34673578,0.34673578
Ppp1r1b,mz.403.84944,7,0.3465822,0.3465822
Hpca,mz.240.123325,7,0.34655488,0.34655488
Gpr88,mz.203.932345,7,0.3464297,0.3464297
Adora2a,mz.348.93134,7,0.345814,0.345814
Pde10a,mz.366.89971,7,0.34579927,0.34579927
Ppp1r1b,mz.366.89971,7,0.34576946,0.34576946
Arpp21,mz.364.90545999999995,7,0.34572467,0.34572467
Gpr88,mz.201.932625,7,0.34555537,0.34555537
Hpca,mz.364.90545999999995,7,0.34541774,0.34541774
Nptxr,mz.240.122615,7,-0.345267,0.345267
Adora2a,mz.348.92984,7,0.3450668,0.3450668
Scn4b,mz.369.025065,7,0.3449846,0.3449846
Drd2,mz.241.12645,7,0.34486327,0.34486327
Pde1b,mz.203.93183499999998,7,0.3446952,0.3446952
Bcl11b,mz.240.122615,7,0.3444258,0.3444258
Syndig1l,mz.364.90545999999995,7,0.34437484,0.34437484
Pde10a,mz.762.473255,7,0.34411246,0.34411246
Adora2a,mz.217.9387,7,0.34386912,0.34386912
Mef2c,mz.240.122615,7,-0.34368142,0.34368142
Penk,mz.435.85526,7,0.34353238,0.34353238
Rasd2,mz.201.934135,7,0.3435141,0.3435141
Scn4b,mz.241.12645,7,0.34336615,0.34336615
Hpca,mz.240.122615,7,0.34298694,0.34298694
Ppp1r1b,mz.393.915395,7,0.34255394,0.34255394
Pde10a,mz.403.84944,7,0.3425134,0.3425134
Adcy5,mz.348.93134,7,0.34196737,0.34196737
Arpp21,mz.364.902325,7,0.34192628,0.34192628
Gpr88,mz.393.915395,7,0.3419144,0.3419144
Rasd2,mz.540.910025,7,0.34142393,0.34142393
Ppp1r1b,mz.393.91748,7,0.3413115,0.3413115
Arpp21,mz.348.92984,7,0.34090903,0.34090903
Syndig1l,mz.364.902325,7,0.340856,0.340856
Drd1,mz.240.123325,7,0.34063867,0.34063867
Drd2,mz.348.92861500000004,7,0.3406178,0.3406178
Gng7,mz.369.025065,7,0.34034646,0.34034646
Pde1b,mz.540.910025,7,0.34015417,0.34015417
