gene,w,component,w_abs
Tvp23a,0.00035188533,6,0.00035188533
Slc35g1,-0.00035151004,6,0.00035151004
C1qc,-0.0003481831,6,0.0003481831
Gm26728,-0.0003471678,6,0.0003471678
Hpse,0.00034204332,6,0.00034204332
Tex2,0.00034021545,6,0.00034021545
Slc45a3,-0.00033984403,6,0.00033984403
Gal3st1,0.00033925762,6,0.00033925762
Foxk1,-0.0003391609,6,0.0003391609
Ptafr,0.00033532357,6,0.00033532357
Car14,0.00033455135,6,0.00033455135
Tspan2,-0.00033399265,6,0.00033399265
Sspo,-0.00033269805,6,0.00033269805
Gm31805,-0.0003292596,6,0.0003292596
Mgp,0.0003280985,6,0.0003280985
Emilin2,-0.00032362127,6,0.00032362127
Ccar2,-0.0003228805,6,0.0003228805
Serpind1,-0.00031596082,6,0.00031596082
Heg1,-0.0003144362,6,0.0003144362
Olig2,0.0003141267,6,0.0003141267
Plxnb3,0.0003115322,6,0.0003115322
Orc1,-0.00031138604,6,0.00031138604
Pilra,0.0003107344,6,0.0003107344
Agap1,0.00031046002,6,0.00031046002
Cnn2,0.000308259,6,0.000308259
Atp1b3,-0.00030613452,6,0.00030613452
Mrvi1,-0.00030499863,6,0.00030499863
Thrap3,0.0003035349,6,0.0003035349
Stat5a,-0.00030053544,6,0.00030053544
Gm5136,-0.00029807017,6,0.00029807017
Safb2,-0.00029641585,6,0.00029641585
Magix,-0.00029561901,6,0.00029561901
Lrmda,0.00029419936,6,0.00029419936
Tril,0.00029005384,6,0.00029005384
Cgnl1,0.0002888089,6,0.0002888089
Dnajc18,0.00028813566,6,0.00028813566
Nipsnap3b,-0.00028736307,6,0.00028736307
Cyb5rl,0.00028194938,6,0.00028194938
Rasgrf2,-0.00028146445,6,0.00028146445
Usp1,-0.00028078523,6,0.00028078523
Ly6g6d,0.00027918612,6,0.00027918612
Ssc5d,0.00027900137,6,0.00027900137
Fcgr2b,-0.00027436554,6,0.00027436554
Gpr88,-0.00027286686,6,0.00027286686
Colec11,-0.00027073498,6,0.00027073498
Prdm6,0.0002696544,6,0.0002696544
Taldo1,-0.0002692615,6,0.0002692615
Snx25,0.00026782847,6,0.00026782847
Foxc2,0.0002672909,6,0.0002672909
A330015K06Rik,0.0002647644,6,0.0002647644
Fbxl18,0.0002622817,6,0.0002622817
Phf7,-0.0002603574,6,0.0002603574
Lpin3,-0.00025927203,6,0.00025927203
Isg20,0.00025876574,6,0.00025876574
Dusp13,0.00025322128,6,0.00025322128
Plpp2,0.0002501808,6,0.0002501808
Arid5a,-0.0002480533,6,0.0002480533
Fdxr,-0.00024754443,6,0.00024754443
Myrf,0.000247358,6,0.000247358
Bdkrb2,0.0002468438,6,0.0002468438
Elmo3,0.00024624978,6,0.00024624978
Gm48552,0.00023889006,6,0.00023889006
Gm16958,0.00023816973,6,0.00023816973
Tspo2,0.00023720758,6,0.00023720758
Skor1,-0.00023170467,6,0.00023170467
Tpm3-rs7,0.00022983487,6,0.00022983487
Slc25a37,-0.00022672364,6,0.00022672364
Plxna4os1,-0.00022660928,6,0.00022660928
Vwf,0.00022645982,6,0.00022645982
Taf4b,0.00022592432,6,0.00022592432
Pde8a,0.00022466358,6,0.00022466358
Heca,0.00021952516,6,0.00021952516
G430095P16Rik,-0.00021902658,6,0.00021902658
Bco2,-0.00021900877,6,0.00021900877
Lrp5,0.00021879202,6,0.00021879202
Drg1,-0.00021588024,6,0.00021588024
Rnmt,-0.00021569821,6,0.00021569821
Cfp,0.00020428452,6,0.00020428452
Gm20632,0.00020394243,6,0.00020394243
Oas1a,0.00020358682,6,0.00020358682
Bcl10,-0.00020340059,6,0.00020340059
Slc43a3,-0.00020113391,6,0.00020113391
4632411P08Rik,0.000199961,6,0.000199961
Myl6b,0.00019570383,6,0.00019570383
S100a3,-0.00019180811,6,0.00019180811
Ap1g2,0.00019129025,6,0.00019129025
Tram2,-0.00019128501,6,0.00019128501
Phlpp1,0.00019069722,6,0.00019069722
Myo1g,0.00018657045,6,0.00018657045
Slc15a3,0.00018654925,6,0.00018654925
1700064M15Rik,-0.00018598208,6,0.00018598208
Slc16a12,0.00018526755,6,0.00018526755
Dmkn,-0.00018495486,6,0.00018495486
Litaf,0.00018316109,6,0.00018316109
9330117O12Rik,0.00018180998,6,0.00018180998
Gm42205,0.00018127805,6,0.00018127805
Trmt6,-0.00018029314,6,0.00018029314
Itgb7,-0.00017301086,6,0.00017301086
H2-Oa,-0.00016986026,6,0.00016986026
Mri1,0.0001694704,6,0.0001694704
Fam180a,0.00016901048,6,0.00016901048
Mettl8,-0.00016729401,6,0.00016729401
Gm21814,0.00015837802,6,0.00015837802
Taf6,-0.00015837504,6,0.00015837504
AC142100.1,-0.00015307455,6,0.00015307455
Gm43480,0.0001453134,6,0.0001453134
C230034O21Rik,-0.00014476426,6,0.00014476426
Efcab6,0.00014457449,6,0.00014457449
