gene,w,component,w_abs
Lrrc75b,0.0079323705,2,0.0079323705
Gm4013,0.0079185795,2,0.0079185795
Zic1,-0.00791768,2,0.00791768
Prkd3,0.0078958655,2,0.0078958655
Ankub1,0.007858058,2,0.007858058
Ubn1,-0.007851101,2,0.007851101
Gm30015,-0.007835758,2,0.007835758
Arhgef6,0.007784264,2,0.007784264
Mta3,0.007743307,2,0.007743307
Zc3h13,-0.007732759,2,0.007732759
Zeb2os,0.00770787,2,0.00770787
Fam160b2,-0.0077066966,2,0.0077066966
Vxn,0.007700383,2,0.007700383
Ccl9,-0.0076882606,2,0.0076882606
Clint1,-0.0075571616,2,0.0075571616
Capn5,0.0075197136,2,0.0075197136
Eif4a3,-0.007518587,2,0.007518587
Ppp2r3a,0.007471642,2,0.007471642
Fads6,0.007424023,2,0.007424023
Optn,0.007372364,2,0.007372364
Apobec1,0.007366067,2,0.007366067
Clec4n,-0.00736492,2,0.00736492
4930506C21Rik,0.0073618577,2,0.0073618577
Slc29a3,0.007355648,2,0.007355648
Arhgap5,-0.0072839186,2,0.0072839186
Vim,0.0072447564,2,0.0072447564
Alpl,-0.007231797,2,0.007231797
D16Ertd472e,0.0072266217,2,0.0072266217
Gm15545,0.0072260373,2,0.0072260373
Ccl4,0.0071926615,2,0.0071926615
Cnga2,-0.00717542,2,0.00717542
Rrbp1,0.007152373,2,0.007152373
Ngdn,0.007120956,2,0.007120956
Gng5,0.007073581,2,0.007073581
Galnt4,0.0070610764,2,0.0070610764
Aldh1l2,0.007045196,2,0.007045196
Csf1r,-0.007036097,2,0.007036097
Zfhx2os,-0.0070229163,2,0.0070229163
Prox1os,0.0070124394,2,0.0070124394
Fabp7,-0.0069056647,2,0.0069056647
Gm11639,-0.006823031,2,0.006823031
Gm38115,-0.0068033887,2,0.0068033887
Frmpd2,0.00675737,2,0.00675737
Sox2,0.006748824,2,0.006748824
Igf2,-0.006722465,2,0.006722465
Ninj2,0.006705784,2,0.006705784
Gm19500,0.0066826767,2,0.0066826767
Rida,0.006661105,2,0.006661105
Insl5,-0.00665995,2,0.00665995
Mpst,0.0066596773,2,0.0066596773
Cacng4,-0.006647476,2,0.006647476
Myo18b,0.0066211745,2,0.0066211745
Gm28557,-0.0066099605,2,0.0066099605
Radx,-0.006531745,2,0.006531745
Dlg5,-0.0065285666,2,0.0065285666
Nkx2-9,0.006486022,2,0.006486022
Vamp3,0.006423118,2,0.006423118
Cox6b2,0.0063841296,2,0.0063841296
Myh14,0.00638152,2,0.00638152
Ifitm3,-0.006378165,2,0.006378165
B3gnt5,0.006355377,2,0.006355377
Mtmr10,0.0063542817,2,0.0063542817
Wipf1,0.0063472167,2,0.0063472167
Lgi4,0.006332097,2,0.006332097
Prex1,-0.006316528,2,0.006316528
Ighmbp2,-0.0062615564,2,0.0062615564
Sla,-0.006229063,2,0.006229063
Sh3tc2,0.006223521,2,0.006223521
Jam3,0.006200606,2,0.006200606
Bpgm,0.0061162,2,0.0061162
Jrk,0.006097659,2,0.006097659
Gng8,0.0060826065,2,0.0060826065
Grhpr,0.006073049,2,0.006073049
Morc4,0.0060552466,2,0.0060552466
Pik3ip1,-0.0060477313,2,0.0060477313
Matn4,0.0060389596,2,0.0060389596
Baz1b,-0.006026849,2,0.006026849
9430037G07Rik,-0.006006933,2,0.006006933
Piga,0.0059846044,2,0.0059846044
Exd1,-0.0059390543,2,0.0059390543
Depdc7,0.005899322,2,0.005899322
Lmf1,0.0058714235,2,0.0058714235
Eldr,0.0058668647,2,0.0058668647
Hp,-0.0058656917,2,0.0058656917
Snhg4,-0.0057942737,2,0.0057942737
Igfbp2,-0.005749905,2,0.005749905
Sypl,0.0057324287,2,0.0057324287
Ifi27,0.005708963,2,0.005708963
Bcan,0.005682429,2,0.005682429
Trp53i11,-0.005676181,2,0.005676181
Megf10,0.005672223,2,0.005672223
Gm11627,0.005663612,2,0.005663612
Selenbp1,0.005623379,2,0.005623379
Emid1,0.005622215,2,0.005622215
Prox1,0.0056172227,2,0.0056172227
Cdhr4,-0.0055708257,2,0.0055708257
Msx1,-0.0055482187,2,0.0055482187
Gm10827,0.0055326666,2,0.0055326666
Usp54,0.0055084047,2,0.0055084047
Mcm5,0.005506435,2,0.005506435
Flna,-0.0054691695,2,0.0054691695
Rasgrp3,0.005461836,2,0.005461836
Ogn,0.005461128,2,0.005461128
Swap70,0.0054317056,2,0.0054317056
Serinc5,0.0053912825,2,0.0053912825
Gm29260,0.005372875,2,0.005372875
Gm49519,0.005356835,2,0.005356835
Sec11c,0.0053355047,2,0.0053355047
Cd24a,-0.0053305533,2,0.0053305533
Gm12522,-0.005320638,2,0.005320638
Gatad2a,0.00531088,2,0.00531088
Zeb2,0.005296916,2,0.005296916
Rnase6,-0.005242183,2,0.005242183
2010001K21Rik,0.005195619,2,0.005195619
Lin37,-0.0051771193,2,0.0051771193
Stoml3,0.005149702,2,0.005149702
Fign,0.005147817,2,0.005147817
Adamts20,0.005143832,2,0.005143832
Cntln,-0.0051336507,2,0.0051336507
Efs,0.0050883866,2,0.0050883866
Prkcq,0.00505511,2,0.00505511
Dalir,-0.005046737,2,0.005046737
Adamts4,0.005040832,2,0.005040832
Ehd1,0.0050383164,2,0.0050383164
1700047M11Rik,0.005006866,2,0.005006866
Slc16a14,0.00499522,2,0.00499522
Ccdc171,-0.004991061,2,0.004991061
Coro7,-0.0049765334,2,0.0049765334
Itga1,0.004963237,2,0.004963237
Rgs7bp,-0.0049273977,2,0.0049273977
Cpm,0.004918054,2,0.004918054
Tbc1d17,0.004806899,2,0.004806899
Pla2g7,0.004799341,2,0.004799341
