gene,msi,component,r,r_abs
Malat1,mz.862.09285,0,0.26618913,0.26618913
mt-Co2,mz.427.13472,0,0.2657292,0.2657292
Mobp,mz.311.1529,0,-0.26558626,0.26558626
Cpne7,mz.428.14952,0,0.26546988,0.26546988
Pacs2,mz.862.08498,0,-0.26523796,0.26523796
Nnat,mz.326.11793,0,0.2648522,0.2648522
mt-Nd3,mz.427.14125,0,0.2647631,0.2647631
Endod1,mz.431.08737,0,-0.26467812,0.26467812
Plp1,mz.428.14952,0,-0.2646276,0.2646276
Sparc,mz.432.08618,0,-0.264601,0.264601
Mag,mz.427.13472,0,-0.26457292,0.26457292
Cpne7,mz.427.14125,0,0.26455075,0.26455075
mt-Nd4,mz.554.0458,0,0.2644276,0.2644276
Bc1,mz.311.1529,0,0.2641905,0.2641905
Mobp,mz.622.29085,0,-0.26404974,0.26404974
Plp1,mz.697.2391,0,-0.26399302,0.26399302
mt-Nd3,mz.338.1179,0,0.2639829,0.2639829
Malat1,mz.469.03851,0,0.26370886,0.26370886
Ptk2b,mz.427.13472,0,0.26362357,0.26362357
mt-Atp6,mz.428.14952,0,0.2636228,0.2636228
Nnat,mz.556.05285,0,0.2635885,0.2635885
mt-Co2,mz.338.1179,0,0.26354718,0.26354718
Sparc,mz.431.08294,0,-0.263547,0.263547
mt-Co2,mz.697.23266,0,0.26292264,0.26292264
mt-Co2,mz.427.14125,0,0.26289523,0.26289523
mt-Atp6,mz.432.08618,0,0.26277533,0.26277533
Vamp1,mz.554.0458,0,-0.26262674,0.26262674
Nrgn,mz.352.13361,0,0.262599,0.262599
mt-Atp6,mz.554.0458,0,0.26231113,0.26231113
Vamp1,mz.697.23266,0,-0.26230296,0.26230296
mt-Atp6,mz.398.13898,0,0.2621161,0.2621161
Bc1,mz.431.07851,0,0.26210672,0.26210672
Cpne7,mz.427.13472,0,0.26203254,0.26203254
Endod1,mz.433.08939,0,-0.26161942,0.26161942
mt-Atp6,mz.382.14402,0,0.26158315,0.26158315
Malat1,mz.383.14755,0,0.26133344,0.26133344
Plp1,mz.427.13472,0,-0.2612907,0.2612907
mt-Atp6,mz.354.14918,0,0.26119438,0.26119438
mt-Nd3,mz.862.09285,0,0.2611676,0.2611676
mt-Nd3,mz.431.08294,0,0.26098305,0.26098305
Mag,mz.427.14125,0,-0.260915,0.260915
mt-Nd4,mz.428.14952,0,0.26072198,0.26072198
mt-Nd3,mz.697.23266,0,0.2605325,0.2605325
Vamp1,mz.698.23612,0,-0.2600343,0.2600343
Mobp,mz.431.07851,0,-0.25995305,0.25995305
mt-Co2,mz.698.23612,0,0.25989842,0.25989842
mt-Nd3,mz.383.14755,0,0.25983194,0.25983194
Ptgds,mz.382.14402,0,-0.25979316,0.25979316
Stmn4,mz.354.14918,0,-0.2596198,0.2596198
mt-Atp6,mz.862.09285,0,0.25956625,0.25956625
mt-Atp6,mz.427.13472,0,0.2593827,0.2593827
Stmn4,mz.427.14125,0,-0.25909472,0.25909472
mt-Nd4,mz.354.14918,0,0.2590398,0.2590398
mt-Nd4,mz.432.08618,0,0.25899613,0.25899613
mt-Nd4,mz.354.1128,0,0.25865072,0.25865072
mt-Nd3,mz.326.11793,0,0.25864133,0.25864133
Malat1,mz.482.10025,0,0.2585143,0.2585143
Malat1,mz.453.06455,0,0.25841543,0.25841543
Cpne7,mz.383.14755,0,0.25837934,0.25837934
Nrgn,mz.407.14256,0,0.25814202,0.25814202
Pvalb,mz.555.04915,0,-0.25813222,0.25813222
Pacs2,mz.407.14256,0,-0.25804612,0.25804612
Mag,mz.354.1128,0,-0.25781077,0.25781077
Nnat,mz.408.12338,0,0.25746277,0.25746277
mt-Nd3,mz.698.23612,0,0.25745612,0.25745612
Malat1,mz.326.11793,0,0.25723997,0.25723997
Mobp,mz.352.13361,0,-0.25716886,0.25716886
Endod1,mz.311.1529,0,-0.25713408,0.25713408
mt-Co2,mz.383.14755,0,0.25710654,0.25710654
Ptk2b,mz.427.14125,0,0.2570152,0.2570152
Ptk2b,mz.398.13898,0,0.25691363,0.25691363
Olfm1,mz.416.11226,0,0.2568913,0.2568913
Plp1,mz.383.14755,0,-0.25688627,0.25688627
Ptk2b,mz.354.14918,0,0.25686643,0.25686643
mt-Nd3,mz.697.2391,0,0.2568076,0.2568076
mt-Nd3,mz.482.10025,0,0.25654078,0.25654078
Ptgds,mz.428.14952,0,-0.25635546,0.25635546
mt-Nd4,mz.555.04915,0,0.25580895,0.25580895
mt-Atp6,mz.555.04915,0,0.25578624,0.25578624
Endod1,mz.431.07851,0,-0.25577152,0.25577152
mt-Co2,mz.482.10025,0,0.25576803,0.25576803
Slc17a7,mz.311.15701,0,0.25568008,0.25568008
Plp1,mz.382.14402,0,-0.25544965,0.25544965
Cpne7,mz.458.16003,0,0.25528777,0.25528777
Malat1,mz.556.05285,0,0.255136,0.255136
mt-Nd3,mz.427.13255,0,0.25510243,0.25510243
Poglut1,mz.431.08294,0,-0.25500154,0.25500154
Pvalb,mz.382.14402,0,-0.25499144,0.25499144
Vamp1,mz.555.04915,0,-0.25466874,0.25466874
Endod1,mz.469.04201,0,-0.2546611,0.2546611
Vamp1,mz.697.2391,0,-0.2544122,0.2544122
Poglut1,mz.432.08618,0,-0.2543214,0.2543214
mt-Co2,mz.415.10892,0,0.25425845,0.25425845
Vamp1,mz.431.08294,0,-0.25412717,0.25412717
mt-Nd4,mz.862.09285,0,0.25401992,0.25401992
mt-Atp6,mz.427.14125,0,0.25394687,0.25394687
mt-Co2,mz.697.2391,0,0.25390315,0.25390315
Rpl4,mz.311.15701,0,-0.2538476,0.2538476
Pvalb,mz.427.13472,0,-0.2535237,0.2535237
mt-Co2,mz.326.11793,0,0.2535172,0.2535172
mt-Nd4,mz.382.14402,0,0.25330612,0.25330612
Ptgds,mz.431.08294,0,-0.25327745,0.25327745
Plp1,mz.427.14125,0,-0.25322866,0.25322866
mt-Nd4,mz.697.23266,0,0.25314406,0.25314406
mt-Nd4,mz.427.13472,0,0.2530889,0.2530889
