msi,w,component,w_abs
mz.200.068365,0.2432753,0,0.2432753
mz.425.97632999999996,0.24299784,0,0.24299784
mz.317.028975,0.2429105,0,0.2429105
mz.784.516775,0.24284755,0,0.24284755
mz.265.069955,0.24259281,0,0.24259281
mz.848.56105,0.24242008,0,0.24242008
mz.752.946195,0.24237512,0,0.24237512
mz.601.995035,0.24234717,0,0.24234717
mz.545.95589,0.24201837,0,0.24201837
mz.798.5888950000001,0.24199885,0,0.24199885
mz.240.122615,0.24160317,0,0.24160317
mz.790.906505,0.24159415,0,0.24159415
mz.442.96448,0.24147922,0,0.24147922
mz.200.068855,0.24143541,0,0.24143541
mz.240.09833,0.24122615,0,0.24122615
mz.187.95841000000001,0.2412061,0,0.2412061
mz.236.99328500000001,0.24116366,0,0.24116366
mz.348.92984,0.24115786,0,0.24115786
mz.242.11363,0.24113847,0,0.24113847
mz.348.92861500000004,0.24066205,0,0.24066205
mz.148.0607,0.2405993,0,0.2405993
mz.253.083775,0.24011528,0,0.24011528
mz.823.54033,0.2398576,0,0.2398576
mz.290.08631,0.2397993,0,0.2397993
mz.778.4744599999999,0.23959148,0,0.23959148
mz.268.092975,0.2395314,0,0.2395314
mz.604.500865,0.23919939,0,0.23919939
mz.408.227835,0.23906572,0,0.23906572
mz.841.42895,0.23905101,0,0.23905101
mz.797.52513,0.23899403,0,0.23899403
mz.236.99253,0.23894294,0,0.23894294
mz.364.90382,0.23894003,0,0.23894003
mz.364.902325,0.23889494,0,0.23889494
mz.586.027285,0.238787,0,0.238787
mz.364.90545999999995,0.23875882,0,0.23875882
mz.297.06824,0.23872249,0,0.23872249
mz.787.7609,0.23834315,0,0.23834315
mz.350.035205,0.23822081,0,0.23822081
mz.505.94966,0.23804064,0,0.23804064
mz.154.05921999999998,0.2379193,0,0.2379193
mz.422.920525,0.23767452,0,0.23767452
mz.269.10659499999997,0.23759878,0,0.23759878
mz.313.010805,0.23736547,0,0.23736547
mz.350.085725,0.23733635,0,0.23733635
mz.771.5036749999999,0.23709239,0,0.23709239
mz.568.91425,0.23708214,0,0.23708214
mz.367.966215,0.23705935,0,0.23705935
mz.426.922605,0.23702376,0,0.23702376
mz.503.967085,0.23701993,0,0.23701993
mz.767.49072,0.23676705,0,0.23676705
mz.974.530145,0.23668677,0,0.23668677
mz.619.99029,0.23666711,0,0.23666711
mz.806.49703,0.23661849,0,0.23661849
mz.745.493155,0.23629677,0,0.23629677
mz.481.90378499999997,0.23624702,0,0.23624702
mz.398.03732,0.23610762,0,0.23610762
mz.298.06399999999996,0.23602028,0,0.23602028
mz.366.96109,0.23595232,0,0.23595232
mz.198.037635,0.23591335,0,0.23591335
mz.368.95887,0.23573671,0,0.23573671
mz.308.091955,0.23560172,0,0.23560172
mz.664.9507249999999,0.23555553,0,0.23555553
mz.240.123325,0.23539856,0,0.23539856
mz.592.0904700000001,0.23532568,0,0.23532568
mz.632.329915,0.23512757,0,0.23512757
mz.136.06234,0.2350462,0,0.2350462
mz.772.5572649999999,0.23498742,0,0.23498742
mz.711.4860550000001,0.23480053,0,0.23480053
mz.408.9512,0.23480032,0,0.23480032
mz.878.0411349999999,-0.23471777,0,0.23471777
mz.348.93134,0.23471317,0,0.23471317
mz.710.484335,0.23462006,0,0.23462006
mz.849.546255,0.23459189,0,0.23459189
mz.546.02602,-0.23457773,0,0.23457773
mz.332.024385,0.2344376,0,0.2344376
mz.813.4811,0.23429248,0,0.23429248
mz.296.06595500000003,0.23423447,0,0.23423447
mz.298.07016999999996,0.23418392,0,0.23418392
mz.502.03556000000003,0.23396018,0,0.23396018
mz.298.065095,0.23381126,0,0.23381126
mz.290.04088,-0.23373637,0,0.23373637
mz.407.95657500000004,0.2337007,0,0.2337007
mz.564.24207,0.23367843,0,0.23367843
mz.367.964545,0.23353426,0,0.23353426
mz.136.048655,0.23340364,0,0.23340364
mz.965.51191,0.23320755,0,0.23320755
mz.618.314225,0.23319158,0,0.23319158
mz.790.4757999999999,0.23318522,0,0.23318522
mz.683.994105,0.23301154,0,0.23301154
mz.786.539305,0.23292394,0,0.23292394
