gene,w,component,w_abs
Tmem191c,4.4016692e-06,1,4.4016692e-06
Dynlt1a,-4.388008e-06,1,4.388008e-06
Cxcl12,4.3879454e-06,1,4.3879454e-06
Gm34256,-4.385624e-06,1,4.385624e-06
Plxnb3,4.3698346e-06,1,4.3698346e-06
Celrr,-4.334182e-06,1,4.334182e-06
Usp12,4.3302944e-06,1,4.3302944e-06
Arhgap25,4.282942e-06,1,4.282942e-06
Cpt2,-4.2792462e-06,1,4.2792462e-06
Xrcc2,4.2727247e-06,1,4.2727247e-06
Gm48283,-4.2696365e-06,1,4.2696365e-06
Pdzd3,-4.2663905e-06,1,4.2663905e-06
Trmt6,-4.263434e-06,1,4.263434e-06
Taf1a,-4.2630177e-06,1,4.2630177e-06
Zfp512b,4.2517063e-06,1,4.2517063e-06
Cd302,-4.2393904e-06,1,4.2393904e-06
Paqr5,-4.239265e-06,1,4.239265e-06
Slc13a3,4.2311094e-06,1,4.2311094e-06
2410080I02Rik,4.2129295e-06,1,4.2129295e-06
Mettl1,4.2125343e-06,1,4.2125343e-06
Zfp976,-4.2003185e-06,1,4.2003185e-06
Usp37,4.194921e-06,1,4.194921e-06
2310058D17Rik,-4.1643557e-06,1,4.1643557e-06
Ncoa4,4.1597464e-06,1,4.1597464e-06
Pdf,-4.1227163e-06,1,4.1227163e-06
Adarb1,-4.115798e-06,1,4.115798e-06
C030029H02Rik,4.1106186e-06,1,4.1106186e-06
Bend6,-4.110092e-06,1,4.110092e-06
Gm4673,4.1041103e-06,1,4.1041103e-06
Col4a3bp,-4.0951736e-06,1,4.0951736e-06
Ddx51,-4.0932446e-06,1,4.0932446e-06
Kcnd3,4.088104e-06,1,4.088104e-06
Col22a1,-4.0714217e-06,1,4.0714217e-06
Ccl8,-4.069927e-06,1,4.069927e-06
Gstm7,-4.065823e-06,1,4.065823e-06
Arhgap20,4.0649606e-06,1,4.0649606e-06
Pcdh12,-4.058162e-06,1,4.058162e-06
Kcnt1,-4.037279e-06,1,4.037279e-06
Atad2,-4.0355517e-06,1,4.0355517e-06
Zfp469,-4.0291784e-06,1,4.0291784e-06
Stxbp3,4.0285013e-06,1,4.0285013e-06
Prss35,-4.017984e-06,1,4.017984e-06
Frem2,-4.012128e-06,1,4.012128e-06
Plod1,-4.008254e-06,1,4.008254e-06
Mmp16,-4.00319e-06,1,4.00319e-06
Mirt1,-4.0030227e-06,1,4.0030227e-06
Ogdhl,-4.000182e-06,1,4.000182e-06
Zfp994,-3.995618e-06,1,3.995618e-06
Cib2,3.994926e-06,1,3.994926e-06
Srsf10,-3.9811193e-06,1,3.9811193e-06
Rad54l,3.979443e-06,1,3.979443e-06
Usp8,3.9788865e-06,1,3.9788865e-06
Katnal1,-3.973966e-06,1,3.973966e-06
Ecel1,-3.9721463e-06,1,3.9721463e-06
Zfp579,-3.961287e-06,1,3.961287e-06
Dock9,-3.9594047e-06,1,3.9594047e-06
Nr1d2,3.92191e-06,1,3.92191e-06
Klhdc8a,3.9094093e-06,1,3.9094093e-06
Tmem201,3.9039573e-06,1,3.9039573e-06
Prox1os,-3.89931e-06,1,3.89931e-06
Gdpd5,3.8941157e-06,1,3.8941157e-06
Pde8b,3.890296e-06,1,3.890296e-06
Zfp14,3.8799953e-06,1,3.8799953e-06
Lipc,-3.8741896e-06,1,3.8741896e-06
Zfp811,3.873643e-06,1,3.873643e-06
B3gnt4,-3.871845e-06,1,3.871845e-06
Ice2,-3.8692124e-06,1,3.8692124e-06
Plxna4,-3.8545863e-06,1,3.8545863e-06
Rgs19,3.8505336e-06,1,3.8505336e-06
Acad12,-3.8478493e-06,1,3.8478493e-06
Gm50394,-3.8453454e-06,1,3.8453454e-06
2610021A01Rik,-3.8391954e-06,1,3.8391954e-06
6430584L05Rik,-3.835338e-06,1,3.835338e-06
A730020M07Rik,3.824498e-06,1,3.824498e-06
S100a7a,3.7943173e-06,1,3.7943173e-06
Tmcc1,3.791518e-06,1,3.791518e-06
Wnt5b,3.7809189e-06,1,3.7809189e-06
Cdkal1,-3.7782568e-06,1,3.7782568e-06
Slc6a20b,-3.7616899e-06,1,3.7616899e-06
9330188P03Rik,3.7467719e-06,1,3.7467719e-06
Hmgn2,3.7433035e-06,1,3.7433035e-06
Poli,-3.7427023e-06,1,3.7427023e-06
Olig1,-3.737253e-06,1,3.737253e-06
Trmt13,-3.7361428e-06,1,3.7361428e-06
Ctxn3,-3.7360517e-06,1,3.7360517e-06
Ermard,3.7221619e-06,1,3.7221619e-06
Pnpla6,-3.7211678e-06,1,3.7211678e-06
Thtpa,3.7178233e-06,1,3.7178233e-06
Atpaf2,-3.7146588e-06,1,3.7146588e-06
Mmp12,-3.682477e-06,1,3.682477e-06
