msi,w,component,w_abs
mz.682.14279,-0.26234478,0,0.26234478
mz.377.17653,0.26227087,0,0.26227087
mz.396.02464,0.2621495,0,0.2621495
mz.716.19741,0.26203197,0,0.26203197
mz.755.15658,0.2607589,0,0.2607589
mz.288.12641,-0.26055846,0,0.26055846
mz.555.21529,-0.26032943,0,0.26032943
mz.717.20036,0.26028425,0,0.26028425
mz.462.18557,0.26023746,0,0.26023746
mz.395.19515,0.2599427,0,0.2599427
mz.327.08045,0.25974897,0,0.25974897
mz.289.12044,-0.25958094,0,0.25958094
mz.700.49929,0.25857034,0,0.25857034
mz.433.23603,0.25803703,0,0.25803703
mz.297.15162,0.25716054,0,0.25716054
mz.303.10342,0.25664082,0,0.25664082
mz.702.3195,0.25654307,0,0.25654307
mz.288.12707,-0.2565166,0,0.2565166
mz.808.13812,0.25627786,0,0.25627786
mz.398.1583,0.25610384,0,0.25610384
mz.808.26532,0.25604203,0,0.25604203
mz.397.02815,0.25603727,0,0.25603727
mz.555.22305,-0.25586382,0,0.25586382
mz.519.24045,0.25579312,0,0.25579312
mz.569.21609,0.25554934,0,0.25554934
mz.234.72608,-0.25547847,0,0.25547847
mz.585.22191,0.25505933,0,0.25505933
mz.571.22928,0.25489905,0,0.25489905
mz.791.98766,0.25488004,0,0.25488004
mz.804.54915,0.25485033,0,0.25485033
mz.603.22788,0.25478998,0,0.25478998
mz.234.39156,-0.25420004,0,0.25420004
mz.411.17055,0.2541835,0,0.2541835
mz.798.53984,0.2541117,0,0.2541117
mz.685.15729,-0.2540391,0,0.2540391
mz.435.11084,0.2538544,0,0.2538544
mz.222.09406,-0.25324082,0,0.25324082
mz.590.19486,0.25297734,0,0.25297734
mz.446.19046,0.25274146,0,0.25274146
mz.288.12487,-0.25264803,0,0.25264803
mz.605.22379,-0.2524681,0,0.2524681
mz.698.38404,0.2515208,0,0.2515208
mz.685.15045,-0.25144932,0,0.25144932
mz.650.12262,0.2508423,0,0.2508423
mz.839.1604,0.25079206,0,0.25079206
mz.556.22657,-0.2501781,0,0.2501781
mz.571.24743,-0.24949166,0,0.24949166
mz.185.75256,-0.24931273,0,0.24931273
mz.257.12017,0.24840182,0,0.24840182
mz.296.14364,0.24827872,0,0.24827872
mz.580.21743,-0.24731204,0,0.24731204
mz.717.15675,-0.2460203,0,0.2460203
mz.180.40835,-0.24584565,0,0.24584565
mz.535.22436,-0.24476488,0,0.24476488
mz.394.1554,0.24382535,0,0.24382535
mz.718.20407,0.24337956,0,0.24337956
mz.685.14361,-0.2427751,0,0.2427751
mz.699.16605,-0.2425816,0,0.2425816
mz.956.2304,-0.24176708,0,0.24176708
mz.704.13475,-0.24164328,0,0.24164328
mz.316.11572,0.2415454,0,0.2415454
mz.310.13423,0.2415248,0,0.2415248
mz.272.1348,0.24105379,0,0.24105379
mz.569.22939,0.24077354,0,0.24077354
mz.811.04586,-0.2402454,0,0.2402454
mz.564.24338,0.2397102,0,0.2397102
mz.473.97299,0.23909484,0,0.23909484
mz.594.22317,0.23892754,0,0.23892754
mz.431.0758,0.23788974,0,0.23788974
mz.227.69378,0.23741081,0,0.23741081
mz.298.15931,0.23718522,0,0.23718522
mz.686.1537,-0.2371058,0,0.2371058
mz.284.14369,-0.23668182,0,0.23668182
mz.571.24397,-0.23563446,0,0.23563446
mz.932.24692,0.23513344,0,0.23513344
mz.397.02209,0.23471364,0,0.23471364
mz.1046.32671,0.2344924,0,0.2344924
mz.535.21677,-0.23370789,0,0.23370789
mz.298.14671,0.23247021,0,0.23247021
mz.585.21193,0.23242934,0,0.23242934
mz.337.13398,0.23207985,0,0.23207985
mz.570.2209,0.23187962,0,0.23187962
mz.604.22927,0.2314276,0,0.2314276
mz.687.1574,-0.23068778,0,0.23068778
mz.178.41135,-0.23035523,0,0.23035523
mz.288.12553,-0.23001516,0,0.23001516
mz.852.32049,0.22959778,0,0.22959778
mz.270.12628,0.22919433,0,0.22919433
mz.791.99347,0.22809954,0,0.22809954
mz.463.1889,0.22781506,0,0.22781506
mz.352.15283,0.22780932,0,0.22780932
mz.160.02547,0.22760186,0,0.22760186
mz.585.21011,0.22673915,0,0.22673915
mz.555.27206,0.2262975,0,0.2262975
mz.184.41614,0.22592412,0,0.22592412
mz.185.41508,-0.22563368,0,0.22563368
mz.827.28805,0.22558585,0,0.22558585
mz.304.08897,0.22478145,0,0.22478145
mz.560.20567,-0.22459988,0,0.22459988
mz.546.19795,0.22426093,0,0.22426093
mz.820.33077,-0.22416396,0,0.22416396
mz.338.17364,0.22408475,0,0.22408475
mz.583.23791,0.22357498,0,0.22357498
mz.341.12878,0.22325918,0,0.22325918
mz.828.32924,-0.22295107,0,0.22295107
mz.678.14804,0.22291994,0,0.22291994
mz.262.11346,0.22288032,0,0.22288032
mz.185.75329,0.22271028,0,0.22271028
mz.322.12424,0.22252157,0,0.22252157
mz.174.41102,-0.22248396,0,0.22248396
mz.408.14611,0.2219897,0,0.2219897
mz.555.1863,0.2219428,0,0.2219428
mz.739.46649,0.22124697,0,0.22124697
mz.771.39291,0.22122875,0,0.22122875
mz.708.28762,0.2209426,0,0.2209426
mz.297.14718,0.2208563,0,0.2208563
mz.179.08329,-0.22081074,0,0.22081074
mz.568.25116,-0.22041443,0,0.22041443
mz.489.94697,0.22024713,0,0.22024713
mz.410.13493,0.21997832,0,0.21997832
mz.228.50008,-0.21968979,0,0.21968979
mz.556.22206,-0.21964015,0,0.21964015
mz.525.22769,0.2193425,0,0.2193425
mz.375.11639,0.21915779,0,0.21915779
mz.354.16846,0.2188754,0,0.2188754
mz.957.23315,-0.21831433,0,0.21831433
mz.559.20888,0.21828464,0,0.21828464
mz.559.23664,0.21798423,0,0.21798423
mz.536.22043,-0.21753807,0,0.21753807
mz.557.23002,-0.21740206,0,0.21740206
mz.575.19567,0.21720332,0,0.21720332
mz.675.25457,0.21673402,0,0.21673402
mz.808.31118,-0.2165012,0,0.2165012
mz.646.29606,0.21548389,0,0.21548389
mz.844.52367,0.21469796,0,0.21469796
mz.664.13139,-0.2144691,0,0.2144691
mz.799.54291,0.21440868,0,0.21440868
mz.288.12751,-0.21411048,0,0.21411048
mz.578.25874,0.21406348,0,0.21406348
mz.555.18875,0.21401131,0,0.21401131
mz.285.11512,-0.21396548,0,0.21396548
mz.451.21308,0.21370919,0,0.21370919
mz.555.20713,0.2136794,0,0.2136794
mz.593.21922,0.21325998,0,0.21325998
mz.996.36349,0.21290515,0,0.21290515
mz.992.25908,0.21271491,0,0.21271491
mz.983.35093,0.21214542,0,0.21214542
mz.180.74289,-0.21175759,0,0.21175759
mz.967.26108,0.21159746,0,0.21159746
mz.938.23714,-0.21058008,0,0.21058008
mz.291.12865,-0.20990732,0,0.20990732
mz.576.19535,-0.20983092,0,0.20983092
mz.845.52728,0.20940706,0,0.20940706
mz.396.20735,0.2089298,0,0.2089298
mz.304.10906,0.20873031,0,0.20873031
mz.952.25472,-0.20858856,0,0.20858856
mz.482.19078,0.20843537,0,0.20843537
mz.740.46962,0.20791577,0,0.20791577
mz.561.20936,-0.20782049,0,0.20782049
mz.320.1084,0.20678195,0,0.20678195
mz.562.1932,0.2064775,0,0.2064775
mz.286.12293,-0.20634663,0,0.20634663
mz.716.28983,0.20622571,0,0.20622571
mz.393.16,0.2058879,0,0.2058879
mz.858.31325,-0.20439088,0,0.20439088
mz.719.19621,0.20427905,0,0.20427905
mz.778.31214,0.20333065,0,0.20333065
mz.798.1962,0.20310244,0,0.20310244
mz.667.1034,-0.20305112,0,0.20305112
mz.970.24221,-0.2027708,0,0.2027708
mz.810.33806,-0.20273551,0,0.20273551
mz.222.09595,-0.20256549,0,0.20256549
mz.809.31381,-0.20243946,0,0.20243946
mz.289.11988,-0.20209579,0,0.20209579
mz.189.74745,-0.20156324,0,0.20156324
mz.576.23845,-0.20127174,0,0.20127174
mz.223.30148,0.20029835,0,0.20029835
mz.419.18816,-0.20024139,0,0.20024139
mz.414.01524,-0.19983847,0,0.19983847
mz.555.24265,-0.19961682,0,0.19961682
mz.223.30201,0.19947791,0,0.19947791
mz.788.30407,-0.1980414,0,0.1980414
mz.671.28852,0.197867,0,0.197867
mz.703.11559,-0.19767575,0,0.19767575
mz.611.20049,0.19737327,0,0.19737327
mz.542.2339,0.19710235,0,0.19710235
mz.228.50043,-0.19704622,0,0.19704622
mz.537.22442,-0.19690329,0,0.19690329
mz.547.20161,0.19671427,0,0.19671427
mz.1048.38431,0.1964102,0,0.1964102
mz.556.21305,0.19568507,0,0.19568507
mz.450.17016,0.19554088,0,0.19554088
mz.288.11233,-0.19525042,0,0.19525042
mz.556.21796,-0.19512549,0,0.19512549
mz.303.10561,0.19448964,0,0.19448964
mz.880.33875,0.1944254,0,0.1944254
mz.551.24815,-0.19325612,0,0.19325612
