gene,msi,component,r,r_abs
Gpr88,mz.315.98977,5,0.32163623,0.32163623
Ppp1r1b,mz.251.961865,5,0.32161304,0.32161304
Rasgrp2,mz.573.92474,5,0.32130957,0.32130957
Necab2,mz.275.03193999999996,5,0.32122916,0.32122916
Tesc,mz.573.92474,5,0.320801,0.320801
Arpp21,mz.271.00518,5,0.32076862,0.32076862
Arpp21,mz.541.97996,5,0.3206038,0.3206038
Hpca,mz.288.976055,5,0.32026246,0.32026246
Bcl11b,mz.288.976055,5,0.32013083,0.32013083
Spock3,mz.271.00396,5,0.31984234,0.31984234
Tomm70a,mz.312.973185,5,0.3198086,0.3198086
Rasd2,mz.315.98977,5,0.3196301,0.3196301
Gpr6,mz.207.044645,5,0.31931508,0.31931508
Rxrg,mz.550.0064150000001,5,0.31902993,0.31902993
Olfm1,mz.253.049875,5,-0.31855687,0.31855687
Tac1,mz.275.03193999999996,5,0.31832692,0.31832692
Syt13,mz.296.99915,5,-0.31830567,0.31830567
Tesc,mz.312.973185,5,0.31768554,0.31768554
